Date of occurrence,Occurrence severity,Occurrence with ship(s),Deviation,Name of ship,IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution
19/10/2013,Serious,Loss of control - Loss of containment,,GEA,9292591,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,YES
19/10/2013,Serious,Hull failure,,Umar 1,9521411,Cargo ship - Liquid Cargo - Chemical tanker,0,0,
18/10/2013,Serious,Damage / loss of equipment,,MANON,9419670,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,1,
18/10/2013,Serious,Fire/Explosion - Fire,,Prins Bernhard,8224406,Fishing vessel - Trawler - Stern,0,0,
22/09/2013,Serious,Contact - Shore object,,Horizon Aphrodite,9407366,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
20/09/2013,Serious,Grounding/stranding - Power,,LE SOLEAL,9641675,Passenger ship - Only passenger - International,0,0,
09/08/2013,Serious,Contact - Shore object,,Dubai Faith,9140009,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
01/08/2013,Serious,Grounding/stranding - Power,,DART,7423926,Cargo ship - Liquid Cargo - Tanker (liquid non-flammable),0,0,
31/07/2013,Serious,Fire/Explosion - Explosion,,JAUME I,9081693,Passenger ship - Passenger and Ro-Ro cargo,0,0,
25/07/2013,Serious,Loss of control - Loss of directional control,,APOLLO,9234628,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
22/07/2013,Serious,Contact - Shore object,,Karsibor III,7606774,Passenger ship - Passenger and Ro-Ro cargo - Port or internal waters,0,0,
25/06/2013,Serious,Fire/Explosion - Fire,,ZENITH,8918136,Passenger ship - Only passenger - International,0,0,
22/06/2013,Serious,Contact - Shore object,,SIRENA SEAWAYS,9212163,Passenger ship - Passenger and Ro-Ro cargo,0,0,
20/06/2013,Serious,Contact - Shore object,,LAUDIO,9135858,Cargo ship - Solid Cargo - General Cargo,0,0,
18/06/2013,Serious,"Loss of control - Loss of containment,Fire/Explosion - Fire",,EUGEN M?RSK,9321550,Cargo ship - Solid Cargo - Container Ship,0,0,YES
14/06/2013,Serious,Fire/Explosion - Fire,,NISOS MYKONOS,9208679,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B,0,0,
14/06/2013,Serious,Grounding/stranding - Power,,FRI OCEAN,9195690,Cargo ship - Solid Cargo - General Cargo,0,0,
07/06/2013,Serious,Loss of control - Loss of directional control,,OCEAN GLORY,9368625,Cargo ship - Solid Cargo - General Cargo,0,0,
01/06/2013,Serious,"Grounding/stranding - Power,Flooding/Foundering - Flooding - Progressive",,Twinkle Island,9512367,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
31/05/2013,Serious,Damage / loss of equipment,,WILSON LEITH,9150509,Cargo ship - Solid Cargo - General Cargo,0,1,
05/05/2013,Serious,Grounding/stranding - Power,,RIO GOLD,8408521,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
01/05/2013,Serious,Fire/Explosion - Fire,,Atlantic Cartier,8215481,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
26/04/2013,Serious,Fire/Explosion - Fire,,CELTIC CARRIER,8516287,Cargo ship - Solid Cargo - General Cargo,0,1,YES
23/04/2013,Serious,Fire/Explosion - Fire,,Victoria Seaways,9350721,Passenger ship - Passenger and Ro-Ro cargo,0,0,
18/04/2013,Serious,Grounding/stranding - Drift,,Norfolk Express,9104902,Cargo ship - Solid Cargo - Container Ship,0,0,
16/03/2013,Serious,"Flooding/Foundering - Flooding - Progressive,Grounding/stranding - Power",,DANIO,9218533,Cargo ship - Solid Cargo - General Cargo,0,0,
26/02/2013,Serious,Grounding/stranding - Power,,DOUWENT,8703139,Cargo ship - Solid Cargo - General Cargo,0,0,
18/02/2013,Serious,"Collision - With other ship,Collision - With other ship",,"L'ECLIPSE,CHANTACO",9333802,"Fishing vessel - Dredger,Cargo ship - Liquid Cargo - Chemical tanker - Type 1",0,0,
16/02/2013,Serious,Contact - Shore object,,Finnarrow,9010814,Passenger ship - Passenger and Ro-Ro cargo,0,0,
07/02/2013,Serious,Fire/Explosion - Fire,,SETUBAL EXPRESS,8858788,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
01/02/2013,Serious,Flooding/Foundering - Flooding - Progressive,,EMMA M?RSK,9321483,Cargo ship - Solid Cargo - Container Ship,0,0,
30/01/2013,Serious,"Damage / loss of equipment,Grounding/stranding - Drift",,CIUDAD DE CADIZ,9383560,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
28/01/2013,Serious,Grounding/stranding - Drift,,Cape Baltic,9311476,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
19/01/2013,Serious,Grounding/stranding - Drift,,MERLE,8918306,Cargo ship - Solid Cargo - General Cargo,0,0,
17/01/2013,Serious,Fire/Explosion - Fire,,OPDR ANDALUCIA,9331206,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
13/01/2013,Serious,Contact - Floating object,,CHRISTOS XXII,7230135,Service ship - Tug (Towing/Pushing),0,0,
22/12/2012,Serious,Fire/Explosion - Explosion,,THEOFYLAKTOS,9081112,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
12/12/2012,Serious,Grounding/stranding - Power,,BEAUMONT,9319416,Cargo ship - Solid Cargo - General Cargo,0,0,
01/12/2012,Serious,Fire/Explosion - Fire,,CLIPPER RANGER,9119402,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
25/11/2012,Serious,Fire/Explosion - Fire,,SAINT TUDY,8403519,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class C,0,0,
24/11/2012,Serious,Contact - Shore object,,HERJOLFUR,9036088,Passenger ship - Passenger and Ro-Ro cargo,0,0,
20/11/2012,Serious,Capsizing/Listing - Listing,,THORUNN SVEINSDOTTIR,9463360,Fishing vessel,0,0,
19/11/2012,Serious,Fire/Explosion - Fire,,KRITI II,7814058,Passenger ship - Passenger and Ro-Ro cargo - International,0,0,YES
15/11/2012,Serious,Grounding/stranding - Power,,AMBER,9085895,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
14/11/2012,Serious,"Grounding/stranding - Power,Flooding/Foundering - Flooding - Progressive",,Marion Dufresne 2,9050814,Service ship - Research ship,0,0,
09/11/2012,Serious,"Collision - With other ship,Collision - With other ship",,"Billabong,Purha",9255268,"Fishing vessel - Trawler - Stern,Cargo ship - Liquid Cargo - Oil tanker - Product carrier",0,0,
28/10/2012,Serious,"Contact - Shore object,Damage / loss of equipment,Flooding/Foundering - Flooding - Massive",,Napol¨¦on Bonaparte,9104835,Passenger ship - Passenger and Ro-Ro cargo - International,0,0,
21/10/2012,Serious,Grounding/stranding - Power,,WILSON NEWPORT,9430985,Cargo ship - Solid Cargo - General Cargo,,,
20/10/2012,Serious,Capsizing/Listing - Capsizing,,BG STONE 1,7236311,Service ship - Dredger,0,0,YES
15/10/2012,Serious,Contact - Shore object,,Liva Greta,8801072,Cargo ship - Solid Cargo - General Cargo,0,0,
28/09/2012,Serious,"Loss of control - Loss of propulsion power,Grounding/stranding - Drift",,CELIA,9184237,Cargo ship - Solid Cargo - General Cargo,0,0,
28/09/2012,Serious,"Loss of control - Loss of propulsion power,Grounding/stranding - Drift",,BSLE SUNRISE,9017628,Cargo ship - Solid Cargo - General Cargo,0,0,
24/09/2012,Serious,Grounding/stranding,,Kyeema Spirit,9171840,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,0,0,
21/09/2012,Serious,Grounding/stranding - Power,,Heulin Dispatch,9518218,Cargo ship - Solid Cargo - General Cargo,0,0,
14/09/2012,Serious,Fire/Explosion - Fire,,Guyenne,9309148,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
16/08/2012,Serious,Grounding/stranding - Power,,VEGA SAGITTARIUS,9491616,Cargo ship - Solid Cargo - Container Ship,0,0,
15/08/2012,Serious,Fire/Explosion - Fire,,Guyenne,9309148,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
14/08/2012,Serious,"Grounding/stranding - Power,Loss of control - Loss of directional control",,Katja,9105906,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,0,0,
05/08/2012,Serious,"Collision - With other ship,Collision - With other ship",,"LE BARON,Vivaldi",8732489,"Fishing vessel - Trawler - Stern,Fishing vessel - Trawler - Stern",0,1,
26/07/2012,Serious,Grounding/stranding - Power,,STELLA,8883288,Cargo ship - Solid Cargo - General Cargo,0,0,
13/07/2012,Serious,Grounding/stranding - Power,,ALGECIRAS JET,9198551,Passenger ship - Passenger and Ro-Ro cargo - International,0,0,
06/07/2012,Serious,"Collision - With other ship,Collision - With other ship",,"STOLT SPRAY,MI MONTSE",9168611,"Cargo ship - Liquid Cargo - Chemical tanker,Fishing vessel - Trawler - Beam",0,0,
04/07/2012,Serious,"Collision - With other ship,Collision - With other ship",,"Sierra Lara,Mart¨ªnez Segundo",9120205,"Fishing vessel - Trawler,Cargo ship - Solid Cargo - Refrigerated Cargo",0,1,
02/07/2012,Serious,Grounding/stranding - Power,,COASTAL ISLE,9030333,Cargo ship - Solid Cargo - General Cargo,0,0,
28/06/2012,Serious,Contact - Floating object - Other,,SKULD,9114359,Service ship - Tug (Towing/Pushing),0,0,YES
25/06/2012,Serious,Grounding/stranding - Power,,FLASH,9522879,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
26/04/2012,Serious,Fire/Explosion - Explosion,,HELLENIC SEA,8905828,Cargo ship - Solid Cargo - Bulk Carrier,0,5,
18/04/2012,Serious,Grounding/stranding - Power,,CMA CGM CHOPIN,9280603,Cargo ship - Solid Cargo - Container Ship,0,0,
01/04/2012,Serious,Grounding/stranding - Power,,LAUREN L,9246827,Passenger ship - Only passenger - International,0,0,
30/03/2012,Serious,Fire/Explosion - Fire,,AZAMARA QUEST,9210218,Passenger ship - Only passenger - International,0,5,
10/03/2012,Serious,"Loss of control - Loss of directional control,Grounding/stranding - Power,Loss of control - Loss of propulsion power,Capsizing/Listing - Listing",,GELSO M,9367360,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
27/02/2012,Serious,"Damage / loss of equipment,Loss of control - Loss of propulsion power,Loss of control - Loss of electrical power,Fire/Explosion - Fire",,COSTA ALLEGRA,6916885,Passenger ship - Only passenger - International,0,0,
17/02/2012,Serious,Damage / loss of equipment,,PADNA,9014298,Cargo ship - Solid Cargo - General Cargo,0,1,
15/02/2012,Serious,Capsizing/Listing - Listing,,Phantom,9226712,Cargo ship - Solid Cargo - General Cargo,0,0,
15/02/2012,Serious,Grounding/stranding,,MAVERICK DOS,8921937,Passenger ship - Only passenger - Domestic - Class A,0,2,YES
08/02/2012,Serious,Grounding/stranding - Drift,,FERUZ,9411874,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
05/02/2012,Serious,Fire/Explosion - Fire,,CAPTAIN IVAN VIKULOV,8862038,Cargo ship - Solid Cargo - General Cargo,0,0,
03/02/2012,Serious,Contact - Shore object,,SHARDEN,9305269,Passenger ship - Passenger and Ro-Ro cargo - International,0,0,
03/02/2012,Serious,Loss of control - Loss of containment,,Haldoz,9383613,Cargo ship - Liquid Cargo - Chemical tanker,,,YES
09/01/2012,Serious,Fire/Explosion - Fire,,MAERSK CHAMPION,8401951,Service ship - Offshore supply ship,0,0,
29/12/2011,Serious,Loss of control - Loss of containment,,TRANS SCANDIC,9000247,Cargo ship - Liquid Cargo - Chemical tanker - Type 2,,,YES
17/12/2011,Serious,"Loss of control - Loss of containment,Capsizing/Listing - Listing",,EUROCARGO VENEZIA,9465552,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,
27/11/2011,Serious,"Damage / loss of equipment,Damage / loss of equipment,Loss of control - Loss of propulsion power,Grounding/stranding - Power",,Norcape,7716086,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,1,
25/11/2011,Serious,"Grounding/stranding - Drift,Flooding/Foundering - Flooding - Progressive",,EK-RIVER,9056868,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,0,0,
07/11/2011,Serious,Loss of control - Loss of containment,,VOLCAN DE TAUCE,9081588,Passenger ship - Passenger and Ro-Ro cargo,0,0,YES
06/11/2011,Serious,"Collision - With other ship,Collision - With other ship,Contact - Shore object",,"VOLCAN DE TIMANFAYA,CORMORAN GRANADA",9281334,"Service ship - Special purpose ship,Passenger ship - Passenger and Ro-Ro cargo",0,0,
22/10/2011,Serious,Contact - Shore object,,BESIKTAS PERA,9517458,Cargo ship - Liquid Cargo - Chemical tanker,0,0,
05/10/2011,Serious,Contact - Shore object,,Moon Clipper,9245586,Passenger ship - Only passenger - Port or internal waters,0,15,
16/09/2011,Serious,Grounding/stranding - Power,,Fiducia,9141132,Cargo ship - Solid Cargo - Container Ship,0,0,
30/08/2011,Serious,Fire/Explosion - Explosion,,MAR CRISTINA,9236303,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,,1,
23/08/2011,Serious,Flooding/Foundering - Flooding - Massive,,KATE,9076674,Fishing vessel - Trawler - Stern,0,0,
09/08/2011,Serious,Grounding/stranding - Power,,CSL Thames,9440447,Cargo ship - Solid Cargo - Bulk Carrier,0,0,
05/08/2011,Serious,"Grounding/stranding - Power,Flooding/Foundering - Flooding - Massive",,KADMOS,8018261,Cargo ship - Solid Cargo - Bulk Carrier,,,
17/07/2011,Serious,Grounding/stranding - Power,,CSL TRIMNES,8908583,Cargo ship - Solid Cargo - Bulk Carrier,,,
