Date of occurrence,Occurrence severity,Occurrence with ship(s),Deviation,Name of ship,IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution
27/09/2015,Very serious,"Flooding/Foundering - Foundering,Fire/Explosion - Fire,Flooding/Foundering - Flooding - Progressive",,CAMPOLIBRE ALAI,8719334,Fishing vessel - Seiner - Tuna purse seiners,0,1,YES
23/09/2015,Very serious,Fire/Explosion - Fire,,Zeus,6605503,Service ship - Tug (Towing/Pushing),4,1,
29/08/2015,Very serious,"Flooding/Foundering - Flooding,Collision - With other ship,Collision - With other ship",,"DAROJA,ERIN WOOD",9148221,"Cargo ship - Solid Cargo - General Cargo,Cargo ship - Liquid Cargo - Oil tanker - Crude oil",0,0,YES
27/08/2015,Very serious,"Loss of control - Loss of containment,Contact - Shore object",,Green Egersund,8804567,Cargo ship - Solid Cargo - Refrigerated Cargo,0,0,YES
18/08/2015,Very serious,Fire/Explosion - Fire,,ARCO AVON,8508383,Service ship - Dredger,1,0,
07/08/2015,Very serious,Loss of control - Loss of containment,,STOLT BOBCAT,9511167,Cargo ship - Liquid Cargo - Chemical tanker,0,0,
01/07/2015,Very serious,"Collision - With other ship,Flooding/Foundering - Foundering,Collision - With other ship",,"ORION,NECKAR HIGHWAY",9179995,"Cargo ship - Solid Cargo - Ro-Ro Cargo,Fishing vessel - Gillnetter",0,0,
27/05/2015,Very serious,Fire/Explosion - Fire,,Ortegal Tres,7424580,Fishing vessel - Trawler - Stern,1,0,
18/05/2015,Very serious,"Flooding/Foundering - Foundering,Flooding/Foundering - Flooding - Progressive,Capsizing/Listing - Listing",,KAIROS,9314038,Fishing vessel - Trawler - Stern,0,0,
05/05/2015,Very serious,Damage / loss of equipment,,AMBER,9085895,Cargo ship - Solid Cargo - Bulk Carrier,1,0,
28/04/2015,Very serious,"Loss of control - Loss of propulsion power,Loss of control - Loss of electrical power,Loss of control - Loss of directional control,Fire/Explosion - Fire",,SORRENTO,9264312,Passenger ship - Passenger and Ro-Ro cargo,0,0,
30/03/2015,Very serious,"Flooding/Foundering - Foundering,Loss of control - Loss of directional control,Capsizing/Listing - Capsizing",,"ASTERIX,DONIZETTI",9174098,"Service ship - Tug (Towing/Pushing),Cargo ship - Liquid Cargo - Chemical tanker",0,0,
23/03/2015,Very serious,Fire/Explosion - Fire,,HIGHSPEED 5,9329095,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,1,0,
09/03/2015,Very serious,"Flooding/Foundering - Foundering,Fire/Explosion - Fire",,GUARISTE PRIMERO,9205031,Fishing vessel - Liner,0,0,YES
20/02/2015,Very serious,"Grounding/stranding - Drift,Damage / loss of equipment,Grounding/stranding - Drift,Flooding/Foundering - Foundering",,KEREM S,8223127,Cargo ship - Solid Cargo - General Cargo,0,0,
11/02/2015,Very serious,Grounding/stranding - Drift,,GOODFAITH,9076404,Cargo ship - Solid Cargo - Bulk Carrier,0,0,YES
17/01/2015,Very serious,"Grounding/stranding - Power,Flooding/Foundering - Foundering",,Leif Roald,8406494,Fishing vessel - Gillnetter,0,0,
02/01/2015,Very serious,Capsizing/Listing - Capsizing,,CEMFJORD,8403569,Cargo ship - Solid Cargo - Bulk Carrier,8,0,
28/12/2014,Very serious,"Capsizing/Listing - Listing,Fire/Explosion - Fire,Loss of control - Loss of propulsion power,Damage / loss of equipment,Loss of control - Loss of electrical power",,NORMAN ATLANTIC,9435466,Passenger ship - Passenger and Ro-Ro cargo,11,31,
25/12/2014,Very serious,"Collision - With other ship,Collision - With other ship",,"RBD JUTLANDIA,CHAN TO KAN",9498690,"Cargo ship - Solid Cargo - Container Ship,Fishing vessel - Trawler - Pair",1,0,
09/12/2014,Very serious,Damage / loss of equipment,,MERITO,9167942,Cargo ship - Solid Cargo - Container Ship,1,0,
