Date of occurrence,Occurrence severity,Occurrence with ship(s),IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution,Age On Casualty,Length overall,Flag State,Sea area of occurrence,Wind force,Sea state,Natural light,Visibility,Weather conditions,bad weather,Education,Inappropriate behavior,Equipment
2015,0,6,9638147,3,0,0,0,1,179.99,MALTA,Internal waters - Port area,,3,Night,Moderate,Clear,1,,,1
2015,0,7,8615277,1,0,0,0,28,56.08,NORWAY,Internal waters - Archipelago fairway,0,,Twilight,Good,Clear,0,1,1,
2015,0,7,9129029,3,0,0,0,18,190,LIBERIA,Territorial sea,5,3,Twilight,Good,Clear,1,,,1
2015,0,3,9708851,5,0,0,0,0,400,MALTA,Open sea - Within EEZ,6,4,Night,Good,Clear,1,,,1
2015,0,4,9116113,1,0,0,0,19,81,SPAIN,Internal waters - Port area,2,0,Daylight,Moderate,,0,1,1,
2015,0,3,9214903,5,0,0,0,15,346.98,DENMARK,Open sea - Outside EEZ,3,2,Daylight,Good,Clear,0,,,1
2015,0,3,9316672,3,0,0,0,11,224.94,MALTA,Open sea - Within EEZ,6,5,Night,Good,Clear,1,1,,1
2015,0,4,9521643,2,0,0,1,7,101.9,PANAMA,Internal waters - Port area,1,1,Daylight,Good,,0,,1,
2015,0,6,9206748,7,0,0,0,16,55.07,GREECE,Internal waters - Port area,0,0,Daylight,Very poor,Fog,2,,1,
2015,0,0,8225474,0,0,2,0,35,35.68,POLAND,Open sea - Within EEZ,6,3,Daylight,Good,Clear,1,,,1
2015,0,6,8650966,7,0,0,0,15,41.97,GREECE,Territorial sea,2,3,Daylight,Good,Clear,0,,1,
2015,0,1,8827181,1,0,8,0,50,63.75,GERMANY,Internal waters - Port area,4,1,Daylight,Good,Clear,0,1,1,1
2015,0,3,9138135,4,0,0,1,17,192.37,MARSHALL ISLANDS,Open sea - Within EEZ,4,2,Daylight,Good,Clear,0,,,1
2015,0,7,9216169,1,0,0,0,22,18.85,SPAIN,Internal waters - Port area,6,3,Daylight,Good,Clear,1,1,,
2015,0,6,9138329,7,0,0,0,18,145,BAHAMAS,Territorial sea,7,6,Twilight,Moderate,Rain,2,1,1,1
2015,0,3,9247039,0,0,0,0,14,140.2,FRANCE,Internal waters - Port area,2,2,Night,Good,Clear,0,,1,1
2015,0,0,9200031,5,0,1,0,15,133.18,MALTA,Internal waters - Port area,3,4,Daylight,Good,Clear,0,1,,
2015,0,1,9452323,4,0,0,0,7,131.55,CYPRUS,Internal waters - Port area,2,0,Daylight,Good,Clear,0,,,1
2015,0,1,9174323,7,0,0,0,17,60,CYPRUS,Internal waters - Port area,6,2,Daylight,Good,Clear,0,,1,1
2015,0,7,9222596,6,0,0,1,16,23.3,FRANCE,Internal waters - Port area,2,1,Night,Good,Clear,0,1,,
2015,0,6,9188946,4,0,0,1,17,94.99,SPAIN,Internal waters - Port area,2,,Night,Very poor,,2,,1,1
2015,0,6,9197313,4,0,0,1,15,129,UNITED KINGDOM,Internal waters - Port area,6,4,Night,Good,Clear,1,,1,
2015,0,7,9254006,2,0,0,0,13,87.31,CYPRUS,Territorial sea,7,5,Night,Good,Overcast,1,1,,
2015,0,1,8304799,0,0,0,0,31,78.3,BAHAMAS,Internal waters - Port area,5,2,Daylight,Good,Clear,0,1,1,1
2015,0,4,9122423,5,0,0,0,18,195.69,ANTIGUA AND BARBUDA,Internal waters - Port area,1,1,Night,Good,Clear,0,1,1,
2015,0,6,9185463,1,0,1,0,15,179.9,SINGAPORE,"Internal waters - Channel, river",4,3,Night,Good,Clear,1,1,1,
